Puesto,País,Índice de Costo de Vida,Índice de Alquiler,Índice de Costo de Vida más Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Poder Adquisitivo Local
,Islas Bermudas,14604,9858,12380,14866,15917,8107
,Suiza,12335,5354,9062,12813,12209,11844
,Noruega,10090,3468,6986,9731,10549,8311
,Islandia,9486,4193,7005,9022,9942,7706
,Barbados,9237,2199,5938,8781,7818,3208
,Jersey,9202,6533,7951,7688,9465,7914
,Israel,8805,3394,6269,7672,9531,7558
,Dinamarca,8412,3323,6026,6860,9875,9945
,Bahamas,8400,3534,6119,7059,8909,4507
,Singapur,8398,6643,7575,7708,6117,9134
,Guernesey,8359,5402,6973,7676,8998,7157
,Hong Kong,8071,7457,7783,8472,5858,6574
,Luxemburgo,8050,6009,7093,7475,8879,9884
,Australia,7775,3684,5857,7744,7295,10463
,Japón,7703,2586,5304,8131,4540,8711
,Irlanda,7605,4208,6013,6210,8040,8227
,Países Bajos,7566,3606,5710,6549,7635,8799
,Nueva Zelanda,7452,3444,5573,7204,7005,8363
,Francia,7413,2533,5126,7364,7184,8541
,Corea del Sur,7322,2002,4828,9195,4210,7685
,Finlandia,7320,2595,5105,6516,7765,9102
,Bélgica,7261,2579,5067,6332,7863,7972
,Suecia,7174,2586,5023,6578,7261,9814
,Austria,7104,2713,5046,6588,6603,7725
,Canadá,7022,3433,5340,7001,6786,8798
,Estados Unidos,7013,4207,5698,7037,7007,10634
,Reino Unido,6965,3184,5193,5658,7679,8878
,Líbano,6962,2481,4861,6683,5425,3512
,Malta,6784,2972,4997,5959,7242,4418
,Macao,6681,4300,5565,6790,5132,6927
,Puerto Rico,6653,1840,4397,6960,5560,7278
,Italia,6647,2055,4495,5795,7058,6174
,Seychelles,6593,3235,5019,6155,7701,1943
,Alemania,6558,2762,4778,5231,6091,10308
,Catar,6281,4820,5596,5497,6301,9367
,Taiwán,6235,1769,4142,7619,2942,5835
,Chipre,5903,2236,4184,4920,6115,5731
,Emiratos Árabes Unidos,5833,4328,5128,4667,6153,9217
,Palestina,5811,1101,3603,5123,4458,3984
,Maldivas,5766,3020,4478,5660,3472,2859
,Grecia,5622,1268,3581,4473,5219,3973
,Cuba,5500,1523,3636,4793,3354,145
,Trinidad y Tobago,5488,1597,3664,5396,5374,3847
,Baréin,5477,2922,4279,4459,4894,6141
,Eslovenia,5388,1790,3701,4771,4674,5948
,España,5388,2125,3858,4569,5396,7004
,Estonia,5368,1637,3619,4229,5643,6346
,Yemen,5314,671,3138,6712,2474,1441
,Uruguay,5207,1393,3419,4401,4939,3007
,Surinam,5178,971,3206,4592,7961,1344
,Panamá,5143,2175,3751,5216,4338,3309
,Belice,5130,1164,3271,4876,3660,4573
,Arabia Saudita,5041,1167,3225,4257,3550,9185
,Senegal,5025,2297,3746,4217,4622,2345
,Jamaica,4967,1510,3346,5341,3504,3025
,Omán,4942,1677,3411,4651,4324,8424
,Jordania,4919,923,3046,4081,4116,3134
,Camboya,4911,1568,3344,5061,2290,1332
,Croacia,4894,1338,3227,4198,4129,4755
,Kuwait,4868,3131,4054,3563,4748,7857
,Letonia,4845,1177,3126,3837,4210,5165
,Libia,4835,1289,3173,5403,3410,3325
,República Checa,4824,1840,3425,4276,3672,6647
,Portugal,4794,2073,3519,3901,4026,4680
,Etiopía,4749,1688,3314,3668,1803,1015
,Costa de Marfil,4703,1768,3327,4022,3199,692
,Costa Rica,4701,1470,3187,4554,4169,3988
,Zimbabue,4568,875,2837,3988,3813,1907
,Lituania,4565,1501,3129,3618,4664,5874
,Eslovaquia,4468,1611,3129,3974,3608,5470
,El Salvador,4437,1319,2975,4432,3547,2117
,Mauricio,4408,1095,2855,4561,3344,2962
,Chile,4390,1351,2966,3887,4326,3327
,Guatemala,4349,1560,3042,4192,3259,2635
,Tailandia,4321,1469,2984,4515,2259,3156
,Venezuela,4320,999,2763,3734,4623,1541
,Fiyi,4316,1776,3126,4806,3742,3587
,Sudáfrica,4209,1660,3014,3478,4133,7836
,República Dominicana,4177,959,2668,3845,3430,2107
,China,4177,1653,2993,4601,2837,5999
,Hungría,4066,1191,2718,3519,3282,5198
,Honduras,4046,1028,2631,3473,2867,3209
,Botsuana,4017,1021,2612,3516,4250,6263
,Nicaragua,3964,868,2513,3813,2751,1763
,Camerún,3948,691,2422,4041,2633,1537
,Polonia,3895,1445,2746,3242,3352,5995
,Montenegro,3895,1287,2672,3176,3322,3419
,Bulgaria,3838,907,2464,3402,3244,4596
,Vietnam,3748,1322,2611,3870,1998,2938
,Irán,3739,1705,2785,2946,2518,1798
,Ecuador,3734,1128,2512,3449,2855,3176
,Filipinas,3706,959,2418,3784,2061,2147
,Malasia,3702,987,2429,3945,2084,5530
,Serbia,3621,873,2333,2818,2924,3783
,Ghana,3620,1931,2828,3753,3006,1682
,Bosnia y Herzegovina,3612,682,2239,3114,2534,4410
,Indonesia,3585,982,2365,3829,1774,2107
,Birmania,3567,2118,2887,3763,2000,1384
,Albania,3550,847,2283,2932,2582,3019
,México,3535,1255,2466,3482,3267,3862
,Rusia,3526,1309,2487,2986,3456,3741
,Rumania,3524,1017,2349,3138,3002,4812
,Bolivia,3477,1018,2324,3126,2497,3604
,Mongolia,3474,1122,2372,3614,2280,2434
,Argentina,3469,771,2204,2817,3332,3072
,Somalia,3458,516,2079,3939,2665,2940
,Irak,3447,1063,2329,3046,2831,4092
,Kenia,3392,873,2211,3127,2882,3218
,Armenia,3389,1161,2345,2759,3055,2886
,Marruecos,3383,898,2218,3063,2452,3436
,Uganda,3350,919,2210,3100,2485,1141
,Brasil,3324,827,2154,2816,2524,2785
,Bangladés,3313,442,1967,3041,2170,2530
,Zambia,3304,926,2190,3153,2246,4033
,Tanzania,3281,1236,2323,3004,2486,1597
,Perú,3253,1122,2254,3071,2153,2817
,Ruanda,3162,1590,2425,2771,2799,2682
,Macedonia del Norte,3138,606,1951,2695,2102,3544
,Sri Lanka,3129,823,2048,3767,1727,1927
,Bielorrusia,3089,981,2101,2724,3164,3178
,Ucrania,3071,1057,2127,2630,2575,3722
,Nigeria,3049,3599,3307,3365,2092,934
,Moldavia,3035,870,2020,2496,2710,3343
,Paraguay,3020,1004,2075,2545,2419,2608
,Georgia,3018,926,2037,2644,2788,3115
,Azerbaiyán,2973,786,1948,2657,2673,2726
,Egipto,2952,582,1841,2742,2342,2154
,Siria,2875,517,1770,2934,2281,659
,Kazajistán,2868,944,1966,2535,2724,3223
,Turquía,2831,663,1815,2264,1840,3288
,Nepal,2829,396,1689,2645,2041,2296
,Túnez,2787,532,1730,2736,1596,2783
,Uzbekistán,2731,929,1886,2683,2422,2237
,Kosovo,2705,804,1814,2484,1953,4386
,Argelia,2687,459,1643,2882,1448,2463
,Colombia,2672,818,1803,2347,1944,2885
,India,2443,530,1547,2643,1756,4972
,Afganistán,2037,272,1209,1492,1241,2304
,Pakistán,1992,391,1242,1781,1554,2663
