Puesto,País,Índice de Costo de Vida,Índice de Alquiler,Índice de Costo de Vida más Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Poder Adquisitivo Local
,Suiza,12603,5763,9261,12844,12764,14651
,Noruega,11859,4870,8443,11006,14145,9630
,Venezuela,11101,3413,7344,12843,9109,1190
,Islandia,10214,3586,6975,10376,10521,7084
,Dinamarca,10060,3471,6840,8859,11753,10570
,Australia,9932,4947,7496,9431,9063,11039
,Nueva Zelanda,9371,3576,6539,9251,8631,9099
,Singapur,9361,8462,8922,8152,5946,7540
,Kuwait,9297,4091,6753,11845,5459,8570
,Reino Unido,9219,3919,6629,8458,9597,9812
,Irlanda,9209,3747,6540,8514,9158,9572
,Luxemburgo,9178,6231,7738,7710,11063,11470
,Finlandia,8968,2987,6045,8430,9238,10117
,Francia,8837,3113,6040,8530,9106,9262
,Bélgica,8722,3096,5973,7954,9593,8616
,Países Bajos,8598,3550,6131,6682,10213,10202
,Suecia,8291,2749,5583,7872,8999,11095
,Corea del Sur,8290,3555,5976,9806,5251,8583
,Italia,8272,2571,5486,7143,9307,7935
,Canadá,8180,3308,5799,8741,7407,10507
,Japón,8036,2971,5561,8268,5051,9821
,Israel,7929,3026,5533,6919,8534,8818
,Austria,7687,2920,5357,7356,7043,10455
,Estados Unidos,7653,3617,5681,8181,6806,12609
,Alemania,7627,2716,5227,6485,7246,11184
,Hong Kong,7523,8109,7809,7946,5382,7493
,Catar,7400,7631,7513,6540,7814,11302
,Puerto Rico,7350,1970,4721,7635,6360,9443
,Chipre,7252,1620,4500,6606,7518,7105
,Ghana,7183,5415,6319,7339,5913,1417
,Grecia,6888,1192,4105,5820,7003,5189
,Malta,6881,1833,4414,5810,7593,7245
,Belice,6874,1144,4074,6391,4252,11998
,Uruguay,6855,2180,4571,6062,6457,4487
,Líbano,6761,3168,5005,5159,6743,5017
,Emiratos Árabes Unidos,6716,6686,6702,6030,6367,10459
,Argentina,6712,1826,4324,6147,6440,5938
,Zimbabue,6589,1980,4337,5942,5433,3340
,España,6570,2153,4411,5417,7109,7671
,Eslovenia,6515,1727,4175,5558,5403,6416
,Jamaica,6356,1478,3973,5942,4412,4353
,Costa Rica,6253,1822,4088,6435,5284,4814
,Rusia,6191,2873,4570,4988,7180,3886
,Jordania,6138,1527,3885,5086,5859,3867
,Estonia,6120,1617,3920,4898,5151,5144
,Mauricio,6010,2088,4093,5127,5230,6010
,Mozambique,5992,3418,4734,5271,7125,4120
,Nigeria,5940,2237,4130,5404,4960,4023
,Azerbaiyán,5913,3046,4512,5022,6469,2921
,Trinidad y Tobago,5908,2215,4104,6007,5101,4698
,Croacia,5892,1180,3590,5232,4636,5047
,Portugal,5822,1829,3871,4740,5107,5822
,Tanzania,5713,2962,4368,5821,3901,4716
,Taiwán,5706,1723,3760,6673,2788,6990
,Camboya,5705,1482,3641,6886,2607,1193
,Baréin,5617,3739,4699,5532,5419,5969
,República Dominicana,5595,1234,3464,5521,4416,2820
,Letonia,5594,1301,3496,4479,4718,4439
,Uzbekistán,5592,1374,3531,4989,4313,2316
,Brasil,5533,1853,3735,4431,4544,4116
,Panamá,5516,3122,4346,6103,4039,4334
,Kazajistán,5427,1941,3724,4437,5898,4348
