Puesto,País,Índice de Costo de Vida,Índice de Alquiler,Índice de Costo de Vida más Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Poder Adquisitivo Local,Año
1,Noruega,14445,5888,10288,13552,16588,9440,2014
2,Suiza,14388,6384,10499,14850,14559,13805,2014
3,Dinamarca,11487,4005,7852,10261,13227,10066,2014
4,Venezuela,11436,3959,7803,13215,9624,1787,2014
5,Islandia,11175,4107,7742,12107,10606,5954,2014
6,Luxemburgo,10993,6411,8767,9707,12651,11531,2014
7,Australia,10851,5797,8395,10503,9744,10420,2014
8,Irlanda,10661,3924,7388,10267,10003,9464,2014
9,Nueva Zelanda,10448,4243,7433,10447,9009,8758,2014
10,Suecia,10368,3379,6972,10035,10376,10611,2014
11,Bahamas,10344,4735,7619,9800,9649,9337,2014
12,Finlandia,10328,3532,7026,10040,10317,9790,2014
13,Francia,10021,3686,6943,10019,9870,9229,2014
14,Reino Unido,10011,4419,7294,9425,9694,9434,2014
15,Bélgica,10004,3489,6839,9351,10582,8793,2014
16,Singapur,10001,9704,9857,8977,6136,6411,2014
17,Países Bajos,9882,4094,7070,7803,11525,9754,2014
18,Italia,9681,3155,6510,8500,10462,7539,2014
19,Japón,9413,3551,6565,9755,5878,9964,2014
20,Israel,9145,3523,6414,7952,9542,6929,2014
21,Chipre,8976,2089,5630,8244,9453,6521,2014
22,Austria,8950,3323,6216,8871,7925,9153,2014
23,Canadá,8790,3571,6255,9457,7878,10553,2014
24,Corea del Sur,8756,3756,6327,10650,5176,8063,2014
25,Alemania,8714,3029,5952,7786,7783,11228,2014
26,Grecia,8379,1512,5043,7051,8476,4427,2014
27,Malta,8018,1752,4974,6890,7910,7269,2014
28,Estados Unidos,7739,3693,5774,8338,6774,13291,2014
29,Uruguay,7736,2526,5205,6866,7163,3964,2014
30,España,7718,2641,5251,6424,7905,7248,2014
31,Puerto Rico,7650,2119,4963,8004,6443,8528,2014
32,Hong Kong,7636,8781,8192,8208,5177,7139,2014
33,Eslovenia,7537,2247,4967,6519,6144,6036,2014
34,Catar,7525,7700,7610,7026,7836,12579,2014
