Puesto,País,Índice de Costo de Vida,Índice de Alquiler,Índice de Costo de Vida más Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Poder Adquisitivo Local
,Islas Bermudas,14619,10476,12634,13955,15139,9165
,Suiza,12206,5657,9068,12272,11985,9535
,Islandia,11171,4653,8047,10388,11974,7762
,Noruega,10631,3988,7447,9831,11713,10558
,Bahamas,10405,4059,7363,10352,8995,3476
,Islas Vírgenes de EE.UU,8586,3723,6256,7541,8112,9582
,Japón,8528,2756,5762,8992,4783,10252
,Italia,8370,2149,5389,7394,7624,7183
,Dinamarca,8302,3502,6001,6384,10101,9876
,Singapur,8241,7022,7657,7168,5833,9270
,Nueva Zelanda,8077,3380,5826,7313,7746,8987
,Australia,8066,4254,6239,7687,7712,10194
,Hong Kong,7996,8408,8193,8188,5487,8145
,Israel,7774,2844,5411,6539,8135,9447
,Luxemburgo,7728,4995,6418,6594,8730,9740
,Irlanda,7698,4064,5956,6221,8138,10352
,Suecia,7588,2686,5239,6794,7827,10723
,Estados Unidos,7542,4030,5859,7557,7002,12317
,Corea del Sur,7541,2202,4982,8852,4462,10238
,Bélgica,7536,2964,5344,6577,8234,9102
,Kuwait,7524,3782,5731,8139,4579,6968
,Francia,7489,2483,5090,6954,7289,8729
,Finlandia,7306,2695,5096,6147,7643,11497
,Países Bajos,7247,3245,5329,5595,8227,8652
,Austria,7152,2586,4964,6586,6694,9566
,Uruguay,7029,1857,4550,5682,6762,3286
,Canadá,7016,2984,5083,6926,6565,10801
,Puerto Rico,6959,1955,4561,6684,6326,8305
,Reino Unido,6949,3098,5103,5585,7684,9685
,Catar,6920,6681,6806,5609,7273,11128
,Emiratos Árabes Unidos,6798,6884,6839,5536,6392,11677
,Alemania,6550,2535,4626,5009,6262,12488
,Malta,6280,2320,4382,5283,6689,6809
,Macao,6256,3900,5127,5633,4856,8641
,Líbano,6165,3089,4691,4692,6023,5361
,Taiwán,6138,1480,3906,7289,2814,11857
